target_date_et,release_time_et,forecast_temp_f,hours_before_target_anchor,forecast_wdir_deg,forecast_wdir_cardinal,lead_hour_bucket,observed_max_f,obs_time_et,observed_wdir_deg,forecast_stability,min_forecast_f,max_forecast_f,forecast_range_f,observed_wdir_cardinal,abs_error_f,signed_error_f,within_1f,within_2f,within_3f,verified_in_daily_range,target_dt,month,quarter,season,sample_season
2021-04-01,2021-03-31 20:00:00-04:00,85.01000000000008,20.0,260.0,W,20,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-03-31 21:00:00-04:00,85.01000000000008,19.0,270.0,W,19,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-03-31 22:00:00-04:00,85.01000000000008,18.0,270.0,W,18,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-03-31 23:00:00-04:00,85.01000000000008,17.0,270.0,W,17,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-04-01 00:00:00-04:00,85.01000000000008,16.0,270.0,W,16,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-04-01 01:00:00-04:00,85.01000000000008,15.0,275.0,W,15,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-04-01 02:00:00-04:00,85.01000000000008,14.0,280.0,W,14,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-04-01 03:00:00-04:00,85.01000000000008,13.0,280.0,W,13,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-04-01 04:00:00-04:00,85.01000000000008,12.0,280.0,W,12,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
2021-04-01,2021-04-01 05:00:00-04:00,85.01000000000008,11.0,280.0,W,11,89.06,2021-04-01 14:53:00-04:00,140.0,STABLE,85.01000000000008,85.01000000000008,0.0,SE,4.049999999999926,-4.049999999999926,False,False,False,False,2021-04-01,4,2,MAM,Spring
