forecast_stability,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range,observed_wdir_cardinal,forecast_wdir_cardinal,range_bucket
STABLE,2142,61,1.1048739495798248,-0.3723529411764325,73.66946778711485,83.28664799253035,92.62371615312792,10.317460317460316,,,
MIXED,2018,55,1.1976065411298245,-0.46485133795833716,65.11397423191279,74.23191278493559,96.43211100099109,42.120911793855306,,,
UNSTABLE,370,10,1.7260540540540656,0.9569189189189629,52.702702702702695,59.72972972972973,77.83783783783784,50.0,,,
,1148,32,0.8419860627177687,-0.03606271776999948,84.05923344947736,89.28571428571429,98.17073170731707,35.45296167247386,SE,,
,296,8,1.1383783783783585,-0.02310810810806064,65.87837837837837,86.14864864864865,87.5,37.5,NE,,
,91,3,1.7792307692307407,-0.4005494505494229,15.384615384615385,84.61538461538461,100.0,0.0,NW,,
,317,9,1.3658990536277684,0.853722397476386,67.82334384858044,79.17981072555204,86.43533123028391,23.34384858044164,S,,
,1664,46,1.084110576923077,-0.43074519230765623,73.4375,77.88461538461539,92.78846153846155,24.39903846153846,E,,
,332,9,1.4600602409638421,-1.191686746987923,51.204819277108435,64.45783132530121,94.27710843373494,33.433734939759034,W,,
,443,12,1.7128442437923124,-0.5016027088035685,46.50112866817156,58.013544018058695,89.39051918735892,33.182844243792324,SW,,
,239,7,1.992050209204988,-0.9745606694560119,41.84100418410041,53.55648535564853,89.5397489539749,0.0,N,,
,74,6,1.5421621621621378,-0.04621621621619012,39.189189189189186,97.2972972972973,100.0,16.216216216216218,,NW,
,993,46,1.031057401812688,-0.09172205438062643,78.24773413897282,88.31822759315206,94.76334340382678,39.77844914400806,,SE,
,593,30,1.1171838111298276,-0.8940809443507198,72.17537942664418,82.29342327150084,95.78414839797638,27.99325463743676,,NE,
,1603,61,1.1103742981908888,-0.22081721771674198,70.36805988771054,74.42295695570806,92.95071740486588,21.334996880848408,,E,
,466,26,1.5018025751072963,0.14407725321891635,53.43347639484979,71.24463519313305,93.56223175965665,32.83261802575107,,SW,
,448,32,1.3974107142857108,-0.326651785714247,58.48214285714286,68.52678571428571,89.50892857142857,21.205357142857142,,S,
,80,8,1.6604999999999546,-1.4692499999999533,42.5,67.5,97.5,1.25,,N,
,273,17,1.4027472527472546,-0.7552747252746829,65.93406593406593,65.93406593406593,84.24908424908425,33.6996336996337,,W,
,3161,89,1.11391015501423,-0.3687978487819946,71.3381841189497,81.14520721290731,93.9259727934198,21.006010756089847,,,narrow_<=1.5F
,1073,29,1.2762721342031598,-0.4312954333643588,63.74650512581547,71.57502329916123,95.1537744641193,37.93103448275862,,,medium_1.5-3F
,296,8,1.795743243243255,0.8343243243243765,50.0,57.432432432432435,77.02702702702703,62.5,,,wide_>3F
