forecast_stability,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range,observed_wdir_cardinal,forecast_wdir_cardinal,range_bucket
STABLE,4634,126,1.0980038843331879,0.30222054380668045,72.39965472593872,81.50625809236081,95.53301683211049,9.948208890807079,,,
MIXED,3474,94,1.181398963730568,0.04036269430055872,68.62406447898675,75.64766839378238,93.69602763385146,49.94242947610823,,,
UNSTABLE,664,18,2.090737951807226,0.6377259036145052,47.74096385542169,54.96987951807228,79.51807228915662,55.72289156626506,,,
,295,8,1.5293898305084992,1.2822711864407308,85.76271186440678,85.76271186440678,87.79661016949153,37.6271186440678,W,,
,3101,84,0.9841954208319832,0.1743985811029077,74.91131892937763,84.23089326023863,97.25894872621735,28.506933247339568,SE,,
,2806,76,1.1032858161083356,0.08210976478976953,72.2024233784747,81.00498930862437,97.29151817533857,34.10548823948682,E,,
,551,15,0.9392014519056032,-0.6200362976406186,73.86569872958258,79.85480943738656,96.91470054446461,26.860254083484573,NE,,
,480,13,1.446375,-0.3959999999999584,62.916666666666664,68.95833333333333,84.16666666666667,23.125,NW,,
,629,17,1.6082670906200516,0.9452146263911365,45.94594594594595,59.30047694753577,92.36883942766295,29.411764705882355,S,,
,429,12,1.7158741258741288,1.3504195804196235,50.349650349650354,57.80885780885781,76.45687645687646,22.377622377622377,N,,
,481,13,2.125010395010405,0.35869022869027345,49.8960498960499,49.8960498960499,74.42827442827443,15.384615384615385,SW,,
,3083,111,0.9944080441128711,0.4488031138501813,76.9704832954914,85.50113525786571,97.04832954914045,30.068115471942914,,SE,
,2421,108,0.942342007434943,-0.03788104089216027,77.73647253201158,84.38661710037175,99.3391160677406,38.49648905410987,,E,
,605,31,1.328727272727246,-1.0844628099173168,56.528925619834716,70.57851239669421,93.05785123966942,17.520661157024794,,NE,
,899,59,1.4251835372636417,0.5482091212458693,56.284760845383765,68.63181312569522,93.88209121245829,30.478309232480534,,S,
,430,21,1.9779069767441921,0.6647441860465524,62.32558139534884,67.90697674418604,79.53488372093022,23.953488372093023,,NW,
,314,21,1.2866560509554208,0.23818471337585484,58.917197452229296,66.2420382165605,91.0828025477707,24.203821656050955,,W,
,221,11,1.5935294117646877,0.31805429864257917,58.82352941176471,62.44343891402715,74.2081447963801,23.52941176470588,,NA,
,212,13,1.724433962264149,-0.8320754716980632,58.9622641509434,58.9622641509434,75.0,12.264150943396226,,N,
,587,30,2.0034582623509483,0.9896933560477417,41.737649063032364,48.38160136286201,77.51277683134583,11.925042589437819,,SW,
,5818,158,1.0900704709522142,0.2459144035751471,72.20694396699898,80.8697146785837,95.54829838432451,19.370917841182536,,,narrow_<=1.5F
,2437,66,1.268309396799343,-0.00897414854324988,66.31103816167419,73.12269183422241,91.91629052113254,45.383668444809196,,,medium_1.5-3F
,517,14,2.2198839458413957,1.0740812379110714,46.22823984526112,54.73887814313346,79.49709864603481,64.41005802707932,,,wide_>3F
